model_name,category,delta_entropy,delta_center_distance,delta_num_peaks
samresnet,Action,7.035727386474609,17.997195559290926,87.7
samresnet,Affective,6.893290672302246,20.310416100601763,75.66
samresnet,Art,7.150758585929871,20.410727915226627,86.6
samresnet,BlackWhite,7.026012587547302,17.151305024478596,86.59
samresnet,Cartoon,7.3095655298233035,20.51664571991778,105.92
samresnet,Fractal,7.202193207740784,17.685983678835107,108.85
samresnet,Indoor,7.280805311203003,20.067424703320544,97.11
samresnet,Inverted,7.263851256370544,15.64712528578719,104.53
samresnet,Jumbled,7.362701635360718,18.964733714829382,100.05
samresnet,LineDrawing,7.252017030715942,20.658405295415626,98.07
samresnet,LowResolution,7.078012957572937,18.52285356474823,93.65
samresnet,Noisy,7.280528349876404,19.52410893312988,83.18
samresnet,Object,6.956254458427429,19.795549489233085,109.97
samresnet,OutdoorManMade,7.244364190101623,20.0977034342533,89.11
samresnet,OutdoorNatural,7.276949911117554,18.936910397291303,93.08
samresnet,Pattern,7.144965128898621,19.715835421165735,89.04
samresnet,Random,7.032723426818848,17.68815779810526,108.76
samresnet,Satelite,7.464693942070007,20.992740478626942,91.61
samresnet,Sketch,6.658375597000122,14.965820470892774,99.71
samresnet,Social,7.097121663093567,16.85389265097809,93.96
