model_name,category,threshold_ratio,neighborhood,mean_delta_num_peaks
deepgazeiie,Action,0.5,35,5.8
deepgazeiie,Affective,0.5,35,5.485714285714286
deepgazeiie,Art,0.5,35,10.8
deepgazeiie,BlackWhite,0.5,35,5.828571428571428
deepgazeiie,Cartoon,0.5,35,7.571428571428571
deepgazeiie,Fractal,0.5,35,9.228571428571428
deepgazeiie,Indoor,0.5,35,9.142857142857142
deepgazeiie,Inverted,0.5,35,8.714285714285714
deepgazeiie,Jumbled,0.5,35,9.685714285714285
deepgazeiie,LineDrawing,0.5,35,8.8
deepgazeiie,LowResolution,0.5,35,7.485714285714286
deepgazeiie,Noisy,0.5,35,8.514285714285714
deepgazeiie,Object,0.5,35,7.114285714285714
deepgazeiie,OutdoorManMade,0.5,35,7.0285714285714285
deepgazeiie,OutdoorNatural,0.5,35,10.0
deepgazeiie,Pattern,0.5,35,14.857142857142858
deepgazeiie,Random,0.5,35,6.542857142857143
deepgazeiie,Satelite,0.5,35,11.771428571428572
deepgazeiie,Sketch,0.5,35,7.085714285714285
deepgazeiie,Social,0.5,35,6.228571428571429
samresnet,Action,0.5,35,48.26
samresnet,Affective,0.5,35,51.25
samresnet,Art,0.5,35,68.05
samresnet,BlackWhite,0.5,35,60.51
samresnet,Cartoon,0.5,35,72.58
samresnet,Fractal,0.5,35,83.38
samresnet,Indoor,0.5,35,79.11
samresnet,Inverted,0.5,35,86.14
samresnet,Jumbled,0.5,35,73.19
samresnet,LineDrawing,0.5,35,80.96
samresnet,LowResolution,0.5,35,80.01
samresnet,Noisy,0.5,35,75.72
samresnet,Object,0.5,35,66.68
samresnet,OutdoorManMade,0.5,35,72.77
samresnet,OutdoorNatural,0.5,35,64.02
samresnet,Pattern,0.5,35,78.27
samresnet,Random,0.5,35,69.37
samresnet,Satelite,0.5,35,86.3
samresnet,Sketch,0.5,35,62.91
samresnet,Social,0.5,35,38.28
